,Resort,Week,Year,Rating
575,Selwyn,week5,2018,3.6666666666666665
576,Selwyn,week5,2019,4.166666666666667
577,Selwyn,week5,2023,2.9285714285714284
578,Selwyn,week5,2024,3.7777777777777777
579,Selwyn,week5,2025,2.2857142857142856
580,Selwyn,week6,2011,4.0
581,Selwyn,week6,2016,2.5
582,Selwyn,week6,2017,1.0
583,Selwyn,week6,2018,4.052631578947368
584,Selwyn,week6,2019,3.4285714285714284
585,Selwyn,week6,2023,2.8823529411764706
586,Selwyn,week6,2024,3.857142857142857
587,Selwyn,week6,2025,3.1
588,Selwyn,week7,2014,4.0
589,Selwyn,week7,2015,5.0
590,Selwyn,week7,2016,5.0
591,Selwyn,week7,2017,5.0
592,Selwyn,week7,2018,3.85
593,Selwyn,week7,2019,3.9473684210526314
594,Selwyn,week7,2023,3.4444444444444446
595,Selwyn,week7,2024,3.3076923076923075
596,Selwyn,week7,2025,3.2857142857142856
597,Selwyn,week8,2016,4.333333333333333
598,Selwyn,week8,2017,5.0
599,Selwyn,week8,2018,4.521739130434782
600,Selwyn,week8,2019,4.125
601,Selwyn,week8,2023,2.8333333333333335
602,Selwyn,week8,2024,4.5
603,Selwyn,week8,2025,3.4
604,Selwyn,week9,2016,3.5
605,Selwyn,week9,2017,4.0
606,Selwyn,week9,2018,4.421052631578948
607,Selwyn,week9,2019,4.111111111111111
608,Selwyn,week9,2022,5.0
609,Selwyn,week9,2023,3.75
610,Selwyn,week9,2024,4.75
611,Selwyn,week9,2025,3.65
612,Thredbo,week1,2019,4.523809523809524
613,Thredbo,week1,2020,4.0
614,Thredbo,week1,2021,4.75
615,Thredbo,week1,2022,4.8
616,Thredbo,week1,2023,4.5
617,Thredbo,week1,2024,4.333333333333333
618,Thredbo,week1,2025,4.7
619,Thredbo,week10,2019,4.368421052631579
620,Thredbo,week10,2020,4.043478260869565
621,Thredbo,week10,2021,4.75
622,Thredbo,week10,2022,4.6
623,Thredbo,week10,2023,3.7333333333333334
624,Thredbo,week10,2024,4.555555555555555
625,Thredbo,week10,2025,4.55
626,Thredbo,week11,2019,4.34375
627,Thredbo,week11,2020,4.75
628,Thredbo,week11,2021,5.0
629,Thredbo,week11,2022,4.421052631578948
630,Thredbo,week11,2023,4.428571428571429
631,Thredbo,week11,2024,3.909090909090909
632,Thredbo,week11,2025,4.357142857142857
633,Thredbo,week12,2019,4.285714285714286
634,Thredbo,week12,2020,4.363636363636363
635,Thredbo,week12,2021,5.0
636,Thredbo,week12,2022,4.5
637,Thredbo,week12,2023,4.75
638,Thredbo,week12,2024,4.888888888888889
639,Thredbo,week12,2025,4.0
640,Thredbo,week13,2019,4.425
641,Thredbo,week13,2020,4.4375
642,Thredbo,week13,2021,5.0
643,Thredbo,week13,2022,4.2727272727272725
644,Thredbo,week13,2023,4.0
645,Thredbo,week13,2024,4.090909090909091
646,Thredbo,week14,2019,4.607142857142857
647,Thredbo,week14,2020,4.75
648,Thredbo,week14,2021,5.0
649,Thredbo,week14,2022,4.6923076923076925
650,Thredbo,week14,2023,4.8
651,Thredbo,week14,2024,4.0
652,Thredbo,week15,2019,4.454545454545454
653,Thredbo,week15,2020,5.0
654,Thredbo,week15,2022,4.375
655,Thredbo,week15,2023,3.7142857142857144
656,Thredbo,week15,2024,4.5
657,Thredbo,week2,2019,4.642857142857143
658,Thredbo,week2,2020,5.0
659,Thredbo,week2,2021,4.529411764705882
660,Thredbo,week2,2022,4.833333333333333
661,Thredbo,week2,2023,4.285714285714286
662,Thredbo,week2,2024,4.0
663,Thredbo,week2,2025,4.777777777777778
664,Thredbo,week3,2019,4.428571428571429
665,Thredbo,week3,2020,5.0
666,Thredbo,week3,2021,4.125
667,Thredbo,week3,2022,4.25
